Название|ISIN|Рейтинг|Срок(м)|Оферта(м)|% текщ|% погш|Номинал|Цена|Кол куп
Сэтл Групп 002Р-04|RU000A10B8M0|A|57|17|22,97|22,44|1000|1026|12|
РЕСО-Лизинг БО-П-23|RU000A10AHC9|AA-|113|20|21,68|20,58|1000|1115|12|
Новосибирскавтодор БО-03|RU000A10B461|BBB|33|34|24,87|23,78|1000|1031|12|
Авто Финанс Банк БО-001P-14|RU000A10B0U0|AA|21|22|21,4|18,16|1000|1060|12|
ВсеИнструменты.ру 001Р-04|RU000A10AXP8|A-|14|16|22,74|19,37|1000|1041|12|
АБЗ-1 002Р-03|RU000A10BNM4|BBB|35|21|24,88|24,51|1000|1011|12|
ТГК-14 001Р-05|RU000A10AS02|BBB+|43|45|26,02|27,87|1000|938|12|
ВИС ФИНАНС БО-П08|RU000A10B2T8|A|21|22|22,88|20,94|1000|1035|12|
Группа ЛСР 001P-10|RU000A10B0B0|A|56|16|23,03|22,45|1000|1028|12|
Брусника 002Р-05|RU000A10B313|A-|33|17|24,41|24,41|1000|1000|12|
Эталон Финанс 002P-03|RU000A10BAP4|A-|22|23|24,07|21,72|1000|1045|12|
Джи-групп 002P-06|RU000A10B1Q6|A-|21|22|23,47|21,27|1000|1040|12|
Р-Вижн 001P-02|RU000A10B7W1|A+|33|35|22,3|19,48|1000|1084|12|
Новые Технологии, 001Р-04|RU000A10AYF7|A-|21|22|23,69|22,51|1000|1021|4|
Элит Строй БО-01|RU000A10BP46|BBB|35|35|26,11|26,08|1000|1001|12|
ГЛОРАКС оббП04|RU000A10B9Q9|BBB-|34|35|24,71|24,08|1000|1018|12|
РОЛЬФ 001P-07|RU000A10ASE2|BBB+|20|21|25,24|24,3|1000|1016|12|
Полипласт П02-БО-04|RU000A10BFJ6|A-|22|23|24,68|23,67|1000|1019|12|
ЭР-Телеком Холдинг ПБО-02-09|RU000A10B0Z9|A-|33|16|23,37|22,91|1000|1013|12|
ЛК РОДЕЛЕН 002Р-03|RU000A10B2F7|BBB+|56|24|24,49|23,93|1000|1027|12|
ЕвроТранс, БО-001Р-05|RU000A10A141|A-|52|54|22,32|20,12|1000|1105|12|
ПСБ Лизинг оббП01|RU000A10AA10|AA|18|19|22,26|15,76|1000|1108|12|
ГТЛК 002Р-04|RU000A10A3Z4|AA-|53|30|21,9|19,37|1000|1126|12|
ГК Самолет БО-П16|RU000A10BFX7|A|34|35|24,02|22,44|1000|1047|12|
Селигдар 001Р-03|RU000A10B933|A+|28|29|22,05|20,4|1000|1040|12|
