Тикер|Название|2018|2019|2020|2021|2022|2023|2024|Среднее|Рост|Среднее корр|Цена|Доходность|Доходность корр|
IRKT|Яковлев|1,14|0,0|0,0|0,0|0,0|0,0|0,0|0,1629|0,5|0,0814|26,95|0,6|0,3|
VSMO|ВСМПО-АВИСМА|1646,45|1758,02|0,0|0,0|0,0|563,77|564,0|647,4629|0,44|284,8837|23980,0|2,7|1,19|
TTLK|Таттелеком|0,02|0,02|0,02|0,04|0,04|0,05|0,05|0,0343|1,87|0,0641|0,79|4,34|8,11|
MGNT|Магнит|272,88|166,78|304,19|784,99|0,0|0,0|824,26|336,1571|0,72|242,0331|4722,0|7,12|5,13|
SVCB|Совкомбанк|0,0|0,42|0,11|0,35|0,0|0,25|1,14|0,3243|2,11|0,6843|14,71|2,2|4,65|
ETLN|Etalon Group PLC ГДР|0,0|0,0|0,16|0,13|0,0|0,0|0,0|0,0414|0,5|0,0207|53,7|0,08|0,04|
KZOSP|Казаньоргсинтез - акции привилегированные|0,25|0,25|0,25|0,5|0,25|0,25|0,25|0,2857|0,8|0,2286|21,0|1,36|1,09|
WUSH|Whoosh|0,0|0,0|0,0|0,0|0,0|10,25|2,11|1,7657|1|1,7657|173,5|1,02|1,02|
PHOR|ФосАгро|105,0|249,0|300,0|558,0|1098,0|1020,0|552,0|554,5714|2,94|1630,4399|6627,0|8,37|24,6|
HNFG|HENDERSON|0,0|0,0|0,0|0,0|0,0|0,0|48,0|6,8571|1|6,8571|621,0|1,1|1,1|
SELG|Селигдар|0,0|0,78|3,97|1,95|4,5|2,0|6,0|2,7429|2,49|6,8298|41,6|6,59|16,42|
TATNP|Татнефть - привилегированные акции|42,43|119,11|10,94|28,82|58,83|62,11|98,54|60,1114|1,45|87,1615|648,0|9,28|13,45|
MAGN|Магнитогорский металлургический комбинат|5,31|3,58|3,77|8,65|2,66|0,0|5,24|4,1729|0,49|2,0447|38,51|10,84|5,31|
VTBR|Банк ВТБ|17,25|5,5|3,87|7,0|0,0|0,0|0,0|4,8029|0,5|2,4015|80,81|5,94|2,97|
RUAL|РУСАЛ|0,0|0,0|0,0|0,0|0,02|0,0|0,0|0,0029|1|0,0029|35,87|0,01|0,01|
NKHP|НКХП|23,41|6,96|7,32|26,69|0,0|14,62|84,23|23,3186|2,05|47,8031|630,5|3,7|7,58|
BANEP|Башнефть - привилегированные акции|158,95|158,95|107,81|0,1|117,29|199,89|249,69|141,8114|1,78|252,4243|1337,5|10,6|18,87|
OKEY|O'Key Group SA|0,0|0,0|0,0|0,0|0,06|0,0|0,0|0,0086|1|0,0086|28,61|0,03|0,03|
ALRS|АЛРОСА|11,17|7,95|2,63|18,33|0,0|3,77|4,51|6,9086|0,28|1,9344|57,94|11,92|3,34|
ELMT|Элемент|0,0|0,0|0,0|0,0|0,0|0,0|0,0|0,0|1|0,0|0,15|0,0|0,0|
MRKP|Россети Центр и Приволжье|0,04|0,04|0,02|0,03|0,03|0,03|0,04|0,0329|1,02|0,0336|0,36|9,14|9,33|
FLOT|Совкомфлот|0,0|0,0|0,0|6,67|0,0|4,29|17,59|4,0786|4,37|17,8235|84,06|4,85|21,2|
DIAS|Диасофт|0,0|0,0|0,0|0,0|0,0|0,0|149,28|21,3257|1|21,3257|4268,0|0,5|0,5|
